title,hID
Cheers,1452
Forty Guns,388
Sunday in New York,286
Boy Meets World,587
Dr. Drew on Call,587
30-Minute Meals,663
Future Cat,547
Daytime Jeopardy,480
UFC 182: Jones vs. Cormier,627
Mission to Mars,310
Ninja Blender Duo for a Healthy Holiday!,316
Fright Night,457
A Different Loyalty,98
MonsterQuest,428
Shepard Smith Reporting,285
New Scandinavian Cooking,61
Portable cooktop,285
UFC Main Event,691
American Beaver,210
Shepard Smith Reporting,637
Moneyball,210
69 News Weekend Edition,534
Sell This House: Extreme,238
The Family Stone,350
Dirty Dancing,592
Air Force News,296
iCarly,715
The Andy Griffith Show,290
In Living Color,479
World War II in Color,895
Next Stop Wonderland,1218
Nature,694
PM Style,111
Breaking Bald,767
Flea Market Flip,663
Hockey,241
Jams Live,767
Horse Master With Julie Goodnight,786
MC Adult Alternative,388
Hoarding: Buried Alive,608
The Pioneers,286
George Hirsch Lifestyle,674
A Different Loyalty,479
The Looney Tunes Show,470
Shepard Smith Reporting,794
Joseph Rosendos Travelscope,683
Burn Notice,404
NASCAR America,310
How I Met Your Mother,363
Cheyenne,281
Lone Star Mystery: A Disappeared Special,632
Little Women: LA,290
American Restoration,581
Fast Joint Relief,800
Factory Made,1688
House Hunters International,517
Secretary,469
The Girls Guide to Depravity,688
CBS Morning News,470
69 News Weekend Edition,177
Judging Amy,479
Next Day Air,293
Hart to Hart,228
Pocono Mountains Today,609
American Beaver,1625
Mad Money,688
MC Love Songs,1688
Fairy Tale: A True Story,458
Forty Guns,633
Inside City,683
Dual Survival,517
Cabinet of Caligari,567
Parks and Recreation,316
Flashpoint,428
Key Capitol Hill Hearings,502
Restaurant: Impossible,342
Monsters Inside Me,334
Inside City,98
Erin Burnett OutFront,296
The Palomino,537
Mantracker,330
Ghost Whisperer,763
I Didnt Do It,547
Ultimate Spider-Man: Web Warriors,301
Lone Star Mystery: A Disappeared Special,665
FOX and Friends,480
The Million Dollar Hotel,428
NFL Monday QB,627
Future Cat,342
The Real,609
Buckmasters Classics,576
Pokémon 4Ever,470
The Painted Veil,581
Factory Made,687
Swamp Thing,122
Duck Dynasty,122
The Bill Cunningham Show,98
Demolition Man,330
Lauryn Is Lost: A Disappeared Special,725
State of Affairs,328
TMZ,592
Gotham,767
CBS Morning News,440
Jimmy Kimmel Live,1452
Health Images,609
Dual Survival,238
The Magdalene Sisters,688
WHP CBS 21 News at 5,479
MC R&B Soul,355
Rides,621
The Magdalene Sisters,111
Gator Boys,739
Breakdown,539
CHiPs,694
Globe Trekker,485
Perry Mason,1452
Special Report With Bret Baier,404
My Wife and Kids,452
Border Feud,316
Judging Amy,736
Diagnosis Murder,310
The Ellen DeGeneres Show,539
Top 20 Most Shocking,691
The Cleveland Show,440
King Kong,663
Mad About You,440
Chowder,676
PM Style,177
Flea Market Flip,299
Chris Cox Horsemanship,238
The Mindy Project,577
Mission to Mars,687
Dora and Friends: Into the City!,286
Combat School,674
Eyewitness News Daybreak at 5am,715
The Million Dollar Hotel,241
Panic Room,772
Impractical Jokers,694
Hart to Hart,241
Africas Thunder River,334
Fresh Faces,1218
Air Force News,712
Sexier Holiday Hair,609
Six Star Knife Set,608
Ice Cold Killers,295
Today in New York,539
Eyewitness News First at 4,737
Jams Live,285
Cajun Justice,722
Hip Hop Hits,28
Building Off the Grid: Alaska,737
Inside West Coast Customs,517
Tony Little Body by Bison,794
Dennis the Menace,800
Jersey Shore,517
High Heat,1625
truTV Top Funniest,479
Duck Dynasty,85
Buckmasters Classics,237
Marry Me,637
WWE Slam City,592
The Sting,581
News 8 at 5:30pm,28
The Sting,763
He Said She Said,683
Rival Sons: Live From Gothenburg Sweden,537
Ocean Mysteries With Jeff Corwin,1218
Friday Night Lights,461
Cafeina,296
Special Agent Oso,210
Special Agent Oso,676
Keeping Up With the Kardashians,674
Weather Center Live,577
21 DAY FIX,587
Sexier Holiday Hair,241
Wake Up With Al,281
MC Rock Hits,310
Family Feud,293
House Hunters International,334
My Wife and Kids,621
The Librarians,98
Peter Rabbit,349
NBC 10 News at 11p,665
Inside the Trinity Family of Networks,404
Live Cameras and Forecast Maps,665
Panic Room,592
World War II in Color,553
Mad Money,800
Border Feud,330
MC Reggae,452
Barefoot Contessa,177
My Wife and Kids,295
State Department Briefing,61
General Hospital,513
UFC Main Event,722
Property Brothers,800
Hart to Hart,676
The Palomino,513
Tignanello Handbags,739
Center Court,502
Parks and Recreation,763
Ed Wood,461
Team Umizoomi,715
The Looney Tunes Show,517
The Lead With Jake Tapper,608
Atomic Hotel Erotica,61
Team Umizoomi,581
Local Weather,480
SportsNet Central,632
Fury at Gunsight Pass,330
I Didnt Do It,683
Fairy Tale: A True Story,1474
Your World With Neil Cavuto,537
Max & Shred,111
Next Day Air,1625
Impractical Jokers,301
Last Holiday,286
Blades Gone Wild $198.00 ``$9.95 S&H,771
Zoey 101,800
Dateline NBC,328
Marvel Super Heroes: Maximum Overload,1625
Extreme Births,688
Mona Lisa Smile,238
Supernatural,736
The Real Housewives of Atlanta,28
TMZ,61
South Park,85
Twin Tiers Morning Update,238
Newswatch 16 at 5:30pm,676
Son-in-Law,683
Kick-Ass 2,350
My Wife and Kids,688
American Wedding,608
In Living Color,417
Sweetwater,587
Donna Decorates Dallas,388
News 8 at 11:00,1218
Crash,739
Judge Hatchett,772
The OReilly Factor,553
Holmes Makes It Right,440
Sixers Pregame,553
News Update North America,177
HLN Now,767
Sleep Sex,581
NFL Monday QB,301
Donna Decorates Dallas,674
Early Start With John Berman,712
College Basketball,581
CBS 2 News at 6PM,712
Bob the Builder,537
Triggers: Weapons That Changed the World,608
Action News at 6:00 AM,318
The Interpreter,318
Pop Hits,502
The Island of Dr. Moreau,1625
Peg Plus Cat,712
Chasing Classic Cars,1767
Vanderpump Rules,747
Dr. Phil,567
Digimon Fusion,461
The Worlds End,895
Pop Hits,295
Good Morning America,687
truTV Top Funniest,388
Sixers Pregame,470
Air Force News,772
Ultimate Spider-Man: Web Warriors,111
La Gata,722
Mantracker,1625
iCarly,609
Trauma: Life in the ER,663
Two and a Half Men,771
Eyewitness News Daybreak at 5am,479
House,388
Marvel Super Heroes: Maximum Overload,683
All Hands on Deck,334
Cocaine Cowboys,363
SportsNet Central,567
Eyewitness News First at 4,691
A Mothers Revenge,295
The Family Stone,772
Susan Graver Style,1767
Life After Lockup,285
NFL Monday QB,238
Cheyenne,687
Shock Treatment,767
Good Times,621
Movie,363
NASCAR America,61
Journey to the Earths Core,687
Shark Powered Lift Away for the Holiday!,1474
In Living Color,739
Crash,85
iCarly,633
Panic Room,715
Pokémon 4Ever,241
Newswatch 16 at 5:30pm,663
Sleep Sex,691
Joseph Rosendos Travelscope,747
The Real,786
Inside City,334
World War II in Color,603
The Punisher,301
Driving Miss Daisy,635
The Lead With Jake Tapper,725
Wheel of Fortune,160
Hockey,767
Inside Special Ops,1688
Extreme Births,517
Heartland Bowhunter,452
Marvel Super Heroes: Maximum Overload,356
Keeping Up With the Kardashians,567
Key Capitol Hill Hearings,417
Foreigner Peter Frampton Chicago,635
CBS Morning News,722
La Gata,537
TMZ,517
Fox 43 Morning News at 6:00am,517
All Hands on Deck,177
Shock Treatment,1767
Devils Due,111
Lone Star Mystery: A Disappeared Special,621
MC Rock Hits,122
Jams Live,452
Skin to the Max,786
Judy Moody and the NOT Bummer Summer,458
Forty Guns,61
Outnumbered,350
MC Adult Alternative,330
MC Love Songs,1767
The Man With the 200lb Tumor,428
Cocaine Cowboys,310
Top 20 Most Shocking,238
Live Soul,609
Demolition Man,739
News 8 at 11:00,739
truTV Top Funniest,786
Inside the Trinity Family of Networks,122
Taking the Initiative,350
The Life and Legend of Wyatt Earp,627
At Home with Dan,632
Camp Lakebottom,328
All Hands on Deck,771
MC 90s,382
Sell This House: Extreme,428
The Gunfather,355
Journey to the Earths Core,722
69 News Weekend Edition,61
Dr. Drew on Call,355
North Woods Law,800
Two for Tuesday,238
Newswatch 16 at 10pm,637
I Didnt Do It,739
I Didnt Do It,567
Pokémon 4Ever,428
Boogie Nights,794
Cold Justice,609
American Wedding,576
How I Met Your Mother,334
Cheyenne,356
He Said She Said,722
Marry Me,635
The Walking Dead,681
MC 90s,608
Supernatural,479
Don Asletts Cleaning Secrets,632
Kids Club,355
The Palomino,480
Sally Bollywood Super Detective,681
The Lead With Jake Tapper,241
The Walking Dead,739
Vanderpump Rules,553
Up to the Minute,737
Wahlburgers,581
Dog With a Blog,160
Chasing Classic Cars,763
Peoples Choice Awards 2015,356
Dr. Drew on Call,241
Parks and Recreation,534
Sleepy Hollow,111
Perry Mason,295
The Closer,1688
The Mentalist,611
Bonanza,428
Modern Family,285
MC Easy Listening,286
Ninja Blender Duo for a Healthy Holiday!,28
Broadway Danny Rose,440
Jams Live,238
The Girls Guide to Depravity,479
Center Court,330
Joseph Rosendos Travelscope,691
Hip Hop Hits,794
Shrek 2,547
Sexier Holiday Hair,715
At Home with Dan,736
Fury at Gunsight Pass,98
Wake Up With Al,621
The Situation Room,633
Dr. Drew on Call,290
Horse Master With Julie Goodnight,635
The Nile,122
100 Orgasms a Day,85
Along Came Polly,457
Sweetwater,502
Key Capitol Hill Hearings,895
Fury at Gunsight Pass,632
The Girls Guide to Depravity,470
State Department Briefing,895
The Girls Guide to Depravity,160
How I Met Your Mother,122
Judy Moody and the NOT Bummer Summer,539
My Skin Is Killing Me,281
Frontline,772
Sleepy Hollow,737
Utah Blaine,111
State of Affairs,281
Pocono Mountains Today,469
Step Brothers,786
Peoples Choice Awards 2015,122
At Home with Dan,458
The Mentalist,581
More Than Money,330
Scooby-Doo Where Are You!,237
State House Perspectives,286
Cheyenne,576
The Librarians,577
Pawn Stars,388
Journey to the Earths Core,210
Little Women: LA,330
Max & Shred,567
In Living Color,537
The Interpreter,633
The Life and Legend of Wyatt Earp,608
Ghost Whisperer,1625
Shepard Smith Reporting,290
Broadway Danny Rose,1474
UFC Main Event,739
Around the NFL,382
Wheel of Fortune,461
Further Adventures-Wilderness,301
Outnumbered,349
Eyewitness News Daybreak at 6am,786
Hip Hop Hits,1767
Fox 43 Morning News at 6:00am,111
Chowder,635
More Than Money,763
CHiPs,800
iCarly,334
UFC Main Event,428
Live Soul,676
Step Brothers,608
American Restoration,85
Philosophy: Beauty,674
Judy Moody and the NOT Bummer Summer,676
Sell This House: Extreme,342
Dateline NBC,316
MC Adult Alternative,382
Duck Dynasty,290
Morning Express With Robin Meade,299
Peg Plus Cat,794
NCIS: Los Angeles,479
Crossfire Hurricane,318
Loud Mouths,286
MC Y2K,85
Dora and Friends: Into the City!,603
Ice Cold Killers,676
Panic Room,1625
World War II in Color,581
The Pioneers,363
Unforgiven,228
Pokémon 4Ever,722
La Gata,534
Flea Market Flip,627
Restaurant: Impossible,295
Parks and Recreation,293
TVs Funniest Game Show Moments,694
Wheel of Fortune,440
Shrek 2,388
Susan Graver Style,417
Portofino Italian Jewelry,547
CBS 2 News at 6PM,722
Team Umizoomi,429
Fury at Gunsight Pass,316
Hot Shots!,553
Pokémon 4Ever,1688
Kick-Ass 2,687
The Mentalist,328
Inside West Coast Customs,160
Diagnosis Murder,694
Newswatch 16 at 5:30pm,350
The Island of Dr. Moreau,674
The Punisher,328
Movie,342
Judy Moody and the NOT Bummer Summer,712
Made in Milwaukee,458
Wheel of Fortune,281
Movie Loft,228
Newswatch 16 at 10pm,160
Newswatch 16 at 5pm,382
Keith Craft,592
Mob Wives,608
Rural Evening News,293
The Celebrity Apprentice,635
Baggage,665
Next Stop Wonderland,295
Storage Wars,632
Gator Boys,767
SportsNet Central,633
Boogie Nights,576
Pawn Stars,736
Pop Hits,683
Rides,567
Guys Grocery Games,1474
George Lopez,1474
Buckmasters Classics,299
Hockey,739
Shrek 2,725
Newswatch 16 at 10pm,772
MC Rock Hits,470
Mona Lisa Smile,417
Eyewitness News,627
Johnny Carson,429
21 DAY FIX,621
Dan Rather Presents,725
Every Witch Way,688
Skin to the Max,603
George Hirsch Lifestyle,1625
Around the NFL,310
Africas Thunder River,681
Dirty Dancing,328
Body Beast,581
The Unguarded Hour,632
Killer Kids,694
Breakdown,61
Hart to Hart,567
Factory Made,683
Africas Thunder River,547
Forever,328
Live! With Kelly and Michael,517
Every Witch Way,458
Impractical Jokers,1688
The Wayans Bros.,177
Live Cameras and Forecast Maps,301
Sofia the First,895
The Lead With Jake Tapper,417
Dirty Dancing,28
Shake It Up!,440
Wake Up With Al,290
Health Images,479
The Lead With Jake Tapper,286
Flipping Boston,534
Law & Order: Special Victims Unit,85
30-Minute Meals,632
Foreigner Peter Frampton Chicago,576
Good Times,160
The OReilly Factor,122
Happening Now,577
Paid Programming,461
Today in New York,609
Zoey 101,767
Erin Burnett OutFront,627
News Update North America,290
Zanes Sex Chronicles,637
The Girls Guide to Depravity,480
New Scandinavian Cooking,458
Newswatch 16 at 10pm,739
Cheyenne,61
Dr. Drew on Call,480
PM Style,328
Kick Buttowski: Suburban Daredevil,739
Shake It Up!,534
MC Easy Listening,417
Rides,633
State House Perspectives,293
Cold Justice,310
Ed Wood,621
Rival Sons: Live From Gothenburg Sweden,691
Say Yes to the Dress,635
Ninja Blender Duo for a Healthy Holiday!,800
Teeth,712
Driving Miss Daisy,609
Trauma: Life in the ER,285
Africas Thunder River,457
Forty Guns,736
Bridezillas,632
SportsNet Central,388
Paid Programming,458
Don Asletts Cleaning Secrets,687
Crossfire Hurricane,355
Free NutriBullet offer!,428
Combat School,210
Movie Loft,1688
American Beaver,301
Building Off the Grid: Alaska,663
The Pioneers,687
Flea Market Flip,603
The Pursuit of Happyness,567
Rural Evening News,635
Perry Mason,592
Don Asletts Cleaning Secrets,330
CHiPs,160
45th Annual GMA Dove Awards,293
Sell This House: Extreme,553
Live Cameras and Forecast Maps,355
Lauryn Is Lost: A Disappeared Special,592
Unforgiven,687
ESPNU Film Room,404
Newswatch 16 at 5:30pm,587
The Goldbergs,1218
Texas Justice,603
Grimm,1767
FOX 29 News at Five,513
Lone Star Mystery: A Disappeared Special,1767
Pokémon 4Ever,1767
Beauty of Oil Painting With Gary,349
Chasing Classic Cars,349
Fright Night,537
Red Eye,388
International Fellowship,334
Watch TV For FREE!,513
Squawk Alley,293
Eyewitness News Daybreak at 5am,763
Jungle Junction,293
Cheyenne,328
Beautiful Creatures,457
Rides,534
Bad Girls Club: Redemption,429
Hockey,772
Battlefield Detectives,547
Monsters Inside Me,470
Kids Club,637
Outnumbered,581
Untold Stories of the E.R.,470
I Didnt Do It,587
Broadway Danny Rose,237
Property Brothers,1452
Unforgiven,577
NBC 10 News at 11p,1688
Mob Wives,485
Battlefield Detectives,293
The Man With the 200lb Tumor,301
Don Asletts Cleaning Secrets,786
Picker Sisters,603
Rural Evening News,737
Along Came Polly,285
Newswatch 16 at 10pm,691
Unforgiven,28
He Said She Said,299
Newswatch 16 This Morning,290
Last Holiday,772
NASCAR America,547
Trauma: Life in the ER,635
CBS News Sunday Morning,355
Skin to the Max,737
Daytime Jeopardy,502
21 Jump Street,663
Syriana,328
100 Orgasms a Day,737
The Sting,633
Sleep Sex,547
Animal Atlas,160
NBC 10 News at 11p,281
Chasing Classic Cars,160
Sofia the First,428
TV13 Sports Extra,28
The Sting,470
Modern Family,587
Building Alaska,712
Shock Treatment,676
Chasing Classic Cars,363
The Million Dollar Hotel,281
Inside City,739
Good Times,1218
Newswatch 16 at 10pm,576
Peoples Choice Awards 2015,296
Alfred Hitchcock Presents,577
George Hirsch Lifestyle,691
MC R&B Soul,587
Guys Grocery Games,567
100 Orgasms a Day,547
Watch TV For FREE!,457
30 Rock,98
Top 20 Most Shocking,349
Friday Night Lights,800
My 600-Lb. Life,458
The Gunfather,694
21 DAY FIX,895
iCarly,85
King Kong,461
Judge Hatchett,737
Vanderpump Rules,674
Johnny Carson,452
News 8 at 11:00,632
NBC 10 News at 11p,725
Lalaloopsy,539
Good Times,1688
Triggers: Weapons That Changed the World,739
Journey to the Earths Core,633
Lockup Tampa,1767
Cook Like a Pro,285
Pawnography,513
NFL Monday QB,429
The Pioneer Woman,349
Cheyenne,388
The Rundown With José Díaz-Balart,355
Monsters Inside Me,539
State of Affairs,310
Far From Heaven,85
At Home with Dan,285
My 600-Lb. Life,363
MonsterQuest,122
Your World With Neil Cavuto,363
Wahlburgers,210
Twin Tiers Morning Update,895
Triggers: Weapons That Changed the World,363
Sleepy Hollow,428
American Wedding,581
The Million Dollar Hotel,382
Red Eye,632
Don Asletts Cleaning Secrets,722
Dr. Drew on Call,342
Donna Decorates Dallas,470
Breakdown,611
State of Affairs,429
WHP CBS 21 News at 5,1218
Camp Lakebottom,388
Demolition Man,694
The Jewish Jesus,293
MC Rock Hits,739
Flipping Boston,627
Law & Order: Special Victims Unit,663
Suzanne Somers Beauty Health & Fitness,547
69 News Sunrise - 6:00am,722
Blue Steel,513
MC Easy Listening,502
Demolition Man,772
Access Hollywood Live,688
The Situation Room,694
Triggers: Weapons That Changed the World,281
Dirty Dancing,513
Battlefield Detectives,355
Gotham,310
Live Cameras and Forecast Maps,330
100 Orgasms a Day,382
FOX 29 News at Five,290
Hockey,786
Dirty Dancing,725
Live Cameras and Forecast Maps,382
Scholastic Scrimmage,290
Newswatch 16 at 5pm,310
The Situation Room,722
At Home with Dan,587
The Gunfather,715
